10614  334  1503014 M 1990 2835 Carlsen, Magnus
30008 1054 13300474 M 1982 2833 Aronian, Levon
55039   30  4101588 M 1975 2807 Kramnik, Vladimir
81116  155 14100010 M 1969 2764 Ivantchuk, Vassily
10614  209  5000017 M 1969 2762 Anand, Viswanathan
55039    5  5000017 M 1969 2762 Anand, Viswanathan
57031  177  5000017 M 1969 2762 Anand, Viswanathan
10614  200  4102142 M 1976 2721 Svidler, Peter
B0023 1016   608742 M 1981 2719 Fressinet, Laurent
B0023 1062 13400630 M 1986 2718 Gashimov, Vugar
B0023  370   404853 M 1984 2713 McShane, Luke-James
40023  305  1118358 M 1987 2713 Wojtaszek, Radoslaw
10614  407   400041 M 1971 2708 Adams, Michael
10214 1043 13900048 M 1971 2708 Bologan, Viktor Dr
10214 1045  5007003 M 1986 2706 Harikrishna, Pentala
B0023 1111 12401137 M 1991 2701 Le, Quang Liem
61119 1021  4152956 M 1987 2700 Vitiugov, Nikita
B0023  489 14109530 M 1986 2700 Areshchenko, Alexander
F2813 1089   702293 M 1976 2699 Almasi, Zoltan
61202 1078 13601520 M 1983 2699 Jobava, Baadur
B0023 1046 14102951 M 1983 2695 Eljanov, Pavel
10614  358  4650891 M 1985 2694 Naiditsch, Arkadij
66340  330  1000268 M 1972 2691 van Wely, Loek
58019 1023  4138147 M 1985 2690 Alekseev, Evgeny
62101 1004  1610856 M 1988 2689 Ragger, Markus
10214 1012   718572 M 1985 2686 Berkes, Ferenc
10614  259  2209390 M 1972 2683 Shirov, Alexei
10614  476 14200244 M 1979 2681 Kasimdzhanov, Rustam
66202 1032 14200244 M 1979 2681 Kasimdzhanov, Rustam
10614  271   310204 M 1978 2678 Movsesian, Sergei
61304 1038 14107090 M 1986 2678 Volokitin, Andrej
10614  297   605506 M 1983 2673 Bacrot, Etienne
61304 1063 14109182 M 1986 2673 Kryvoruchko, Yuriy
10614  248  2205530 M 1982 2672 Vallejo Pons, Francisco
66340 1067  4115309 M 1974 2669 Rublevsky, Sergei
10614  449  4675789 M 1987 2668 Meier, Georg
B0023  431 14107201 M 1985 2667 Efimenko, Zahar
58019 1007  4659600 M 1968 2665 Khenkin, Igor
F3C01 1034 14101025 M 1975 2665 Onischuk, Alexander
10117  942  4100026 M 1951 2665 Karpov, Anatoly
25210    2   309095 M 1985 2663 Navara, David
61603 1080  4121830 M 1979 2661 Motylev, Alexander
65105 1031 24116068 M 1994 2660 Giri, Anish
10214  292   718939 M 1987 2658 Balogh, Csaba
61119 1004  4118987 M 1977 2657 Najer, Evgeniy
61603 1010   623539 M 1990 2655 Vachier-Lagrave, Maxime
81116  183 13301527 M 1984 2653 Gharamian, Tigran
10614  302  1400355 M 1973 2652 Nielsen, Peter Heine
10214 1011  1008013 M 1973 2651 Tiviakov, Sergei
10614  339  1202758 M 1976 2651 Nisipeanu, Liviu-Dieter
30008 1055 13302485 M 1989 2651 Melkumyan, Hrant
61603 1131  4129199 M 1986 2650 Grachev, Boris
61202 1079  1111914 M 1984 2649 Miton, Kamil
61119  310  1112635 M 1985 2647 Bartel, Mateusz
81116  189  1204297 M 1980 2647 Parligras, Mircea Emilian
F2813 1088  1116207 M 1985 2646 Gajewski, Grzegorz
61101  395  1304364 M 1972 2645 Milov, Vadim
66105 1014  2900017 M 1965 2644 Georgiev, Kiril
10117  955 14603853 M 1988 2644 Lenic, Luka
61304 1045  5016690 M 1993 2644 Negi, Parimarjan
10614  431  4625498 M 1979 2642 Gustafsson, Jan
40023 1153  4625498 M 1979 2642 Gustafsson, Jan
66340  406  1001302 M 1972 2640 Reindermann, Dimitri
61603  395  4101685 M 1972 2639 Landa, Konstantin
10214 1030  2804344 M 1981 2638 Postny, Evgeny
65105 1032 13600966 M 1979 2633 Mchedlishvili, Mikhail
66340 1085 14118084 M 1996 2633 Nyzhnyk, Illya
66105 1073 14502569 M 1980 2632 Stevic, Hrvoje
10214  190   702218 M 1977 2631 Gyimesi, Zoltan
61603 1020  4131061 M 1982 2628 Potkin, Vladimir
61603  390 11600454 M 1976 2627 Fridman, Daniel
B0023  254   300071 M 1970 2627 Hracek, Zbynek
81116  201   409561 M 1987 2625 Jones, Gawain
62101  510  5004225 M 1983 2624 Sandipan, Chanda
10117  957 14102595 M 1978 2623 Miroshnichenko, Evgenij
81528 1169 13602608 M 1989 2623 Sanikidze, Tornike
58019 1005  4151348 M 1990 2623 Khairullin, Ildar
62234  326 14104369 M 1978 2622 Solodovnichenko, Yuri
B0023 1140  1503707 M 1990 2622 Hammer, Jon Ludwig
22059 1090   304760 M 1977 2621 Stocek, Jiri
62101  470 14400014 M 1960 2621 Nikolic, Predrag
62101  525  1006673 M 1987 2621 Stellwagen, Daniel Ruben
B0023 1017  4653530 M 1984 2620 Kritz, Leonid
B0023 1138   633429 M 1990 2619 Edouard, Romain
23003 1017  2900394 M 1971 2619 Delchev, Aleksander
81116  169 14102536 M 1981 2618 Fedorchuk, Sergey
66340 1062   618438 M 1973 2617 Tkachiev, Vladislav
62101  590  4618777 M 1960 2614 Jussupow, Artur
55039   24  4618777 M 1960 2614 Jussupow, Artur
B0023 1036  2804158 M 1983 2613 Roiz, Michael
B0023  470   503142 M 1985 2613 Nybäck, Tomi
10117  956 14508150 M 1990 2612 Saric, Ivan
40023 1298 14116804 M 1993 2610 Zherebukh, Yaroslav
F2813 1069  1107038 M 1978 2604 Socko, Bartosz
62101  538  1007246 M 1985 2602 Smeets, Jan
10614  211  4627253 M 1980 2601 Döttling, Fabian
C0636  153  4627253 M 1980 2601 Döttling, Fabian
81528 1137   410608 M 1990 2601 Howell, David
66105 1027 14107180 M 1984 2601 Drozdovskij, Yuri
62101 1032  1007998 M 1985 2599 l'Ami, Erwin
81528 1093   719978 M 1987 2599 Erdös, Viktor
10614  494 14111330 W 1990 2598 Muzychuk, Anna
10117  951  4667719 M 1988 2596 Baramidze, David
A0601  448  4667719 M 1988 2596 Baramidze, David
66340 1044 14102196 M 1978 2594 Baklan, Vladimir
82024 1051  1700588 M 1969 2589 Cicak, Slavko
61119 1022  4692055 M 1991 2585 Bogner, Sebastian
10501  927  4692055 M 1991 2585 Bogner, Sebastian
81528 1096  1207822 M 1984 2585 Lupulescu, Constantin
10117  953   722413 M 1989 2582 Banusz, Tamas
40023 1189 12500739 M 1982 2581 Ghaem Maghami, Ehsan
10102 1021   613762 M 1984 2577 Maze, Sebastien
61119  286  1104306 M 1977 2576 Macieja, Bartlomiej
B0023 1141  2257327 M 1991 2575 Salgado, Ivan
61202 1049  1704060 M 1981 2574 Berg, Emanuel
65105 1073  1126881 M 1994 2574 Swiercz, Dariusz
40041  156 12501255 M 1985 2574 Moradiabadi, Elshan
81116  142 14103222 M 1978 2573 Goloshchapov, Alexander
40023  747  1105663 M 1977 2572 Kempinski, Robert
10117  934   700010 M 1951 2572 Ribli, Zoltan
66206 1027 14104385 M 1979 2572 Zubarev, Alexander
58019 1013 14500116 M 1971 2571 Palac, Mladen
10614  201  1113100 M 1963 2569 Krasenkow, Michal
61603  413  4115341 M 1971 2569 Tregubov, Pavel
