#########################################
#
# wikipedia-de.txt
#
#########################################
@lang=de
#########################################
Nimzowitsch, Aaron|Aaron_Nimzowitsch
Soltau, Achim|Achim_Soltau
Albin, Adolf|Adolf_Albin
Anderssen, Adolf|Adolf_Anderssen
Schwarz, Adolf|Adolf_Schwarz_%28Schachspieler%29
Stern, Adolf|Adolf_Stern_%28Schachspieler%29
Michaltschischin, Adrian|Adrian_Michaltschischin
Brustman, Agnieszka|Agnieszka_Brustman
Adly, Ahmed|Ahmed_Adly
Gipslis, Aivars|Aivars_%C4%A2ipslis
Rubinstein, Akiba|Akiba_Rubinstein
Galway, Alberic O'Kelly de|Alb%C3%A9ric_O%E2%80%99Kelly_de_Galway
Becker, Albert|Albert_Becker_%28Schachspieler%29
David, Alberto|Alberto_David
Planinc, Albin|Albin_Planinc
Ramirez, Alejandro|Alejandro_Ram%C3%ADrez
Matanovic, Aleksandar|Aleksandar_Matanovi%C4%87
Mista, Aleksander|Aleksander_Mi%C5%9Bta
Wojtkiewicz, Aleksander|Aleksander_Wojtkiewicz
Salvio, Alessandro|Alessandro_Salvio
Yermolinsky, Alex|Alex_Yermolinsky
Deltschew, Alexandar|Alexandar_Deltschew
Baburin, Alexander|Alexander_Baburin
Bangiev, Alexander|Alexander_Bangiev
Beljawski, Alexander|Alexander_Beljawski_%28Schachspieler%29
Berelowitsch, Alexander|Alexander_Berelowitsch
Chalifman, Alexander|Alexander_Walerjewitsch_Chalifman
Csernyin, Alexander|Alexander_Csernyin
Petrow, Alexander Dmitrijewitsch|Alexander_Dmitrijewitsch_Petrow
Galkin, Alexander|Alexander_Galkin
Graf, Alexander|Alexander_Graf
Grischuk, Alexander|Alexander_Igorewitsch_Grischtschuk
Hoffmann, Alexander|Alexander_Hoffmann
Kotov, Alexander Alexandrovich|Alexander_Alexandrowitsch_Kotow
Kotschijew, Alexander|Alexander_Wassiljewitsch_Kotschijew
McDonnell, Alexander|Alexander_McDonnell
Morosewitsch, Alexander|Alexander_Sergejewitsch_Morosewitsch
Motyljow, Alexander|Alexander_Anatoljewitsch_Motyljow
Naumann, Alexander|Alexander_Naumann
Saizew, Alexander|Alexander_Nikolajewitsch_Saizew
Shabalov, Alexander|Alexander_Shabalov
Tolusch, Alexander|Alexander_Kasimirowitsch_Tolusch
Fier, Alexandr|Alexandr_Fier
Kostenjuk, Alexandra|Alexandra_Konstantinowna_Kostenjuk
Deschapelles, Alexandre|Alexandre_Deschapelles
Alexandrow, Alexei|Alexei_Alexandrow
Barsov, Alexei|Alexei_Barsov
Drejew, Alexei|Alexei_Sergejewitsch_Drejew
Fjodorow, Alexei|Alexei_Fjodorow_%28Schachspieler%29
Schirow, Alexei|Alexei_Schirow
Suetin, Alexei|Alexei_Stepanowitsch_Suetin
Beni, Alfred|Alfred_Beni
Brinckmann, Alfred|Alfred_Brinckmann
Butnorius, Algimantas|Algimantas_Butnorius
Gershon, Alik|Alik_Gershon
