#########################################
#
# wikipedia-en.txt
#
#########################################
@lang=en
#########################################
Daniels, A. Polak|A._Polak_Daniels
Alexandre, Aaron|Aaron_Alexandre
Schwartzman, Aaron|Aaron_Schwartzman
Summerscale, Aaron|Aaron_Summerscale
Turner, Abe|Abe_Turner
Gupta, Abhijeet|Abhijeet_Gupta
Kunte, Abhijit|Abhijit_Kunte
Even, Abir Har|Abir_Har_Even
Baratz, Abraham|Abraham_Baratz
Kupchik, Abraham|Abraham_Kupchik
Speijer, Abraham|Abraham_Speijer
Blass, Abram|Abram_Blass
Khavin, Abram|Abram_Khavin
Model, Abram|Abram_Model
Rabinovich, Abram|Abram_Rabinovich
Szpiro, Abram|Abram_Szpiro
Zamikhovsky, Abram|Abram_Zamikhovsky
Frydman, Achilles|Achilles_Frydman
Kuligowski, Adam|Adam_Kuligowski
Albin, Adolf|Adolf_Albin
Anderssen, Adolf|Adolf_Anderssen
Olland, Adolf Georg|Adolf_Georg_Olland
Kraemer, Adolf|Adolf_Kraemer
Kramer, Adolf|Adolf_Kramer
Schwarz, Adolf|Adolf_Schwarz
Seitz, Adolf|Adolf_Seitz
Stern, Adolf|Adolf_Stern_%28chess_player%29
Zinkl, Adolf|Adolf_Zinkl
Zytogorski, Adolf|Adolf_Zytogorski
Groot, Adriaan de|Adriaan_de_Groot
Conde, Adrian Garcia|Adrian_Garcia_Conde
Hollis, Adrian|Adrian_Hollis
Mikhalchishin, Adrian|Adrian_Mikhalchishin
Stevenson, Agnes|Agnes_Stevenson
Brustman, Agnieszka|Agnieszka_Brustman
Adly, Ahmed|Ahmed_Adly
Gipslis, Aivars|Aivars_Gipslis
Rubinstein, Akiba|Akiba_Rubinstein
Galway, Alberic O'Kelly de|Alb%C3%A9ric_O%27Kelly_de_Galway
Becker, Albert|Albert_Becker_%28chess_player%29
Clerc, Albert|Albert_Clerc
Fox, Albert|Albert_Fox
Hodges, Albert|Albert_Hodges
Kapengut, Albert|Albert_Kapengut
Pinkus, Albert|Albert_Pinkus
Simonson, Albert|Albert_Simonson
David, Alberto|Alberto_David
Foguelman, Alberto|Alberto_Foguelman
Planinc, Albin|Albin_Planinc
Zadrima, Aldo|Aldo_Zadrima
Ramirez, Alejandro|Alejandro_Ramirez
Matanovic, Aleksandar|Aleksandar_Matanovi%C4%87
Wohl, Aleksandar|Aleksandar_Wohl
Delchev, Aleksander|Aleksander_Delchev
Sznapik, Aleksander|Aleksander_Sznapik
Wojtkiewicz, Aleksander|Aleksander_Wojtkiewicz
Levin, Aleksandr Mitrofanovich|Aleksandr_Mitrofanovich_Levin
Machtas, Aleksandras|Aleksandras_Machtas
